date,flight_number,route,aircraft_type,seats,distance_nm,scheduled_block_hours,actual_block_hours,dep_time_local,arr_time_sched_local,arr_time_actual_local,dep_delay_min,arr_delay_min,otp_arrival_15m,turnaround_time_min,weather_index,atc_congestion_index,wind_component_index,load_factor,pax,payload_kg,fuel_burn_kg,fuel_cost_inr_thousands,crew_cost_inr_thousands,maint_cost_inr_thousands,other_cost_inr_thousands,total_cost_inr_thousands,revenue_inr_thousands,profit_inr_thousands,extra_flight_possible_flag
2024-10-21,6E 2001,DEL-BOM,A320ceo,180,707,2.25,2.33,08:00,10:15,10:26,7.9,11.8,1,33,0.249,0.334,0.144,0.874,157,3253,5414,339.8,60.6,32.6,20.9,453.9,995.0,541.1,0
2025-08-01,6E 2001,DEL-BOM,A321neo,232,707,2.26,2.49,08:00,10:15,10:33,1.5,17.9,0,35,0.483,0.279,0.058,0.763,177,2814,5668,371.4,74.6,33.6,20.0,499.6,1011.1,511.4,0
2024-09-09,6E 2006,DEL-BOM,A320ceo,180,707,2.31,2.37,20:30,22:48,23:07,14.8,18.8,0,37,0.571,0.475,0.098,0.951,171,2780,5503,363.5,61.6,33.2,26.3,484.6,1073.4,588.8,0
2025-08-19,6E 2002,DEL-BOM,A321neo,232,707,2.28,2.49,10:30,12:46,13:04,-0.6,18.0,0,34,0.338,0.386,-0.012,0.915,212,3792,5690,370.4,74.8,33.6,21.2,500.1,1354.3,854.2,0
2024-12-29,6E 2002,DEL-BOM,A321neo,232,707,2.36,2.56,10:30,12:51,13:23,13.9,32.0,0,37,0.514,0.284,0.031,0.887,206,4096,5838,422.5,76.7,34.5,19.2,552.9,1246.9,694.0,0
2025-02-19,6E 2006,DEL-BOM,A321neo,232,707,2.24,2.26,20:30,22:44,22:52,7.1,8.2,1,45,0.184,0.247,0.127,0.887,206,3301,5149,311.8,67.7,30.5,24.2,434.2,1644.4,1210.2,0
2025-04-27,6E 2005,DEL-BOM,A320ceo,180,707,2.22,2.45,18:00,20:13,20:35,11.8,22.5,0,35,0.158,0.275,0.092,0.925,167,3409,5687,414.4,63.6,34.3,29.1,541.4,1433.6,892.2,0
2025-02-16,6E 2001,DEL-BOM,A320ceo,180,707,2.23,2.35,08:00,10:13,10:40,22.6,26.9,0,40,0.232,0.378,-0.058,0.892,160,2846,5454,387.0,61.1,32.9,20.2,501.2,1208.1,707.0,0
2025-02-24,6E 2001,DEL-BOM,A321neo,232,707,2.26,2.28,08:00,10:15,10:34,15.2,18.9,0,35,0.121,0.502,0.076,0.836,194,3985,5210,352.6,68.4,30.8,22.7,474.5,1060.6,586.1,0
2024-12-06,6E 2003,DEL-BOM,A320ceo,180,707,2.4,2.57,13:00,15:23,15:37,5.4,14.2,1,29,0.666,0.204,0.26,0.793,143,2487,5950,387.6,66.7,35.9,23.8,514.0,806.1,292.1,0
